C,kernel,gamma,degree,orientation,pixels_per_cell,cell_per_block,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
3.59499523940412,polynomial,0.038793185542522875,2.0,10,"(16, 16)","(2, 2)",375,0.5904,0.6011,0.5905,0.5919
30.02636202690839,polynomial,1.940554420930995e-05,4.0,6,"(12, 12)","(3, 3)",425,0.297,0.241,0.297,0.2143
31.772892668956736,polynomial,0.058859806174256686,2.0,10,"(12, 12)","(2, 2)",325,0.6031,0.6032,0.6031,0.6004
33.0428054715331,linear,auto,nan,7,"(16, 16)","(2, 2)",425,0.5427,0.5448,0.5427,0.5386
339.18380384939337,linear,auto,nan,7,"(24, 24)","(3, 3)",300,0.5118,0.4872,0.5118,0.49
34.52259083862354,linear,auto,nan,10,"(16, 16)","(3, 3)",325,0.5947,0.5801,0.5948,0.5809
38.5292965233868,polynomial,0.0813234313091507,3.0,6,"(16, 16)","(2, 2)",450,0.6054,0.6225,0.6054,0.6103
38.583319830223,linear,auto,nan,6,"(12, 12)","(2, 2)",300,0.5377,0.5278,0.5376,0.5274
387.2745944154965,polynomial,9.8678750366931e-05,2.0,10,"(24, 24)","(2, 2)",425,0.3211,0.2766,0.3211,0.2526
47.852377263783865,linear,auto,nan,10,"(16, 16)","(3, 3)",400,0.5699,0.5604,0.5699,0.561
472.55202244497065,linear,auto,nan,7,"(12, 12)","(3, 3)",325,0.5556,0.5385,0.5556,0.5422
51.12871695259437,polynomial,0.0028282181322203588,2.0,10,"(24, 24)","(3, 3)",425,0.5652,0.59,0.5652,0.5744
519.4644024449819,linear,auto,nan,10,"(24, 24)","(2, 2)",375,0.5556,0.5457,0.5556,0.5443
52.37766956553052,rbf,1.3409584287503571e-05,nan,8,"(24, 24)","(2, 2)",500,0.2966,0.1812,0.2966,0.2186
553.7562752220668,polynomial,0.06716767114785299,4.0,8,"(12, 12)","(3, 3)",250,0.648,0.6256,0.648,0.6317
555.2133170247662,linear,auto,nan,7,"(16, 16)","(2, 2)",375,0.5591,0.5552,0.5591,0.5534
58.27276329906924,rbf,4.263805753824237e-05,nan,9,"(12, 12)","(3, 3)",450,0.5482,0.6102,0.5482,0.5681
