fold,C,kernel,gamma,degree,orientation,pixels_per_cell,cell_per_block,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
1,38.5292965233868,polynomial,0.0813234313091507,3,6,"(16, 16)","(2, 2)",450,0.6062,0.63,0.6062,0.6149
2,38.5292965233868,polynomial,0.0813234313091507,3,6,"(16, 16)","(2, 2)",450,0.6291,0.6469,0.629,0.6366
3,38.5292965233868,polynomial,0.0813234313091507,3,6,"(16, 16)","(2, 2)",450,0.6098,0.6075,0.6098,0.605
4,38.5292965233868,polynomial,0.0813234313091507,3,6,"(16, 16)","(2, 2)",450,0.5764,0.6056,0.5764,0.5849
1,472.55202244497065,linear,auto,,7,"(12, 12)","(3, 3)",325,0.5778,0.5599,0.5778,0.5659
2,472.55202244497065,linear,auto,,7,"(12, 12)","(3, 3)",325,0.5858,0.5578,0.5858,0.5667
3,472.55202244497065,linear,auto,,7,"(12, 12)","(3, 3)",325,0.5158,0.49,0.5158,0.495
4,472.55202244497065,linear,auto,,7,"(12, 12)","(3, 3)",325,0.5429,0.5464,0.5429,0.541
1,0.017747835185443643,rbf,0.01673997703313595,,9,"(24, 24)","(3, 3)",425,0.3102,0.3324,0.3102,0.2075
2,0.017747835185443643,rbf,0.01673997703313595,,9,"(24, 24)","(3, 3)",425,0.3114,0.1756,0.3114,0.206
3,0.017747835185443643,rbf,0.01673997703313595,,9,"(24, 24)","(3, 3)",425,0.266,0.1538,0.266,0.1904
4,0.017747835185443643,rbf,0.01673997703313595,,9,"(24, 24)","(3, 3)",425,0.2734,0.1588,0.2734,0.1983
1,47.852377263783865,linear,auto,,10,"(16, 16)","(3, 3)",400,0.5632,0.5533,0.5632,0.5514
2,47.852377263783865,linear,auto,,10,"(16, 16)","(3, 3)",400,0.6143,0.6033,0.6143,0.6075
3,47.852377263783865,linear,auto,,10,"(16, 16)","(3, 3)",400,0.5458,0.5331,0.5459,0.5356
4,47.852377263783865,linear,auto,,10,"(16, 16)","(3, 3)",400,0.5563,0.552,0.5563,0.5493
1,0.020138080477309934,polynomial,0.0006171880095057609,2,9,"(12, 12)","(3, 3)",425,0.3015,0.4329,0.3014,0.1994
2,0.020138080477309934,polynomial,0.0006171880095057609,2,9,"(12, 12)","(3, 3)",425,0.2827,0.1714,0.2827,0.1708
3,0.020138080477309934,polynomial,0.0006171880095057609,2,9,"(12, 12)","(3, 3)",425,0.2539,0.153,0.2539,0.1899
4,0.020138080477309934,polynomial,0.0006171880095057609,2,9,"(12, 12)","(3, 3)",425,0.2748,0.1643,0.2748,0.2047
1,0.7036706168293685,linear,auto,,10,"(16, 16)","(3, 3)",425,0.6112,0.5952,0.6112,0.5991
2,0.7036706168293685,linear,auto,,10,"(16, 16)","(3, 3)",425,0.6151,0.6195,0.615,0.6111
3,0.7036706168293685,linear,auto,,10,"(16, 16)","(3, 3)",425,0.5634,0.5541,0.5634,0.5545
4,0.7036706168293685,linear,auto,,10,"(16, 16)","(3, 3)",425,0.592,0.5913,0.592,0.587
1,212.894865550859,rbf,0.017278224012453054,,8,"(12, 12)","(3, 3)",425,0.6241,0.6925,0.6241,0.6382
2,212.894865550859,rbf,0.017278224012453054,,8,"(12, 12)","(3, 3)",425,0.6444,0.6711,0.6444,0.654
3,212.894865550859,rbf,0.017278224012453054,,8,"(12, 12)","(3, 3)",425,0.625,0.6764,0.625,0.6359
4,212.894865550859,rbf,0.017278224012453054,,8,"(12, 12)","(3, 3)",425,0.6176,0.6556,0.6176,0.6317
1,0.0028961726816209028,linear,auto,,6,"(24, 24)","(3, 3)",375,0.4275,0.4526,0.4275,0.3938
2,0.0028961726816209028,linear,auto,,6,"(24, 24)","(3, 3)",375,0.4419,0.4076,0.4419,0.3738
3,0.0028961726816209028,linear,auto,,6,"(24, 24)","(3, 3)",375,0.3696,0.2986,0.3696,0.3209
4,0.0028961726816209028,linear,auto,,6,"(24, 24)","(3, 3)",375,0.3687,0.2918,0.3687,0.3083
1,0.04970252924591886,rbf,0.009969184767660353,,6,"(16, 16)","(2, 2)",325,0.2856,0.266,0.2856,0.2188
2,0.04970252924591886,rbf,0.009969184767660353,,6,"(16, 16)","(2, 2)",325,0.25,0.1074,0.25,0.1502
3,0.04970252924591886,rbf,0.009969184767660353,,6,"(16, 16)","(2, 2)",325,0.294,0.1936,0.294,0.2277
4,0.04970252924591886,rbf,0.009969184767660353,,6,"(16, 16)","(2, 2)",325,0.2845,0.3109,0.2845,0.2125
1,555.2133170247662,linear,auto,,7,"(16, 16)","(2, 2)",375,0.5926,0.578,0.5926,0.5793
2,555.2133170247662,linear,auto,,7,"(16, 16)","(2, 2)",375,0.5748,0.5728,0.5748,0.5723
3,555.2133170247662,linear,auto,,7,"(16, 16)","(2, 2)",375,0.5319,0.5318,0.5318,0.527
4,555.2133170247662,linear,auto,,7,"(16, 16)","(2, 2)",375,0.5372,0.538,0.5372,0.5352
1,0.006357042039949387,linear,auto,,9,"(12, 12)","(3, 3)",425,0.5491,0.6254,0.5491,0.5718
2,0.006357042039949387,linear,auto,,9,"(12, 12)","(3, 3)",425,0.5673,0.6105,0.5674,0.5843
3,0.006357042039949387,linear,auto,,9,"(12, 12)","(3, 3)",425,0.492,0.5354,0.492,0.5027
4,0.006357042039949387,linear,auto,,9,"(12, 12)","(3, 3)",425,0.5628,0.6276,0.5627,0.5842
1,7.401149166743457,linear,auto,,7,"(16, 16)","(2, 2)",350,0.5675,0.5435,0.5675,0.5464
2,7.401149166743457,linear,auto,,7,"(16, 16)","(2, 2)",350,0.5623,0.5514,0.5624,0.5515
3,7.401149166743457,linear,auto,,7,"(16, 16)","(2, 2)",350,0.5061,0.4886,0.5062,0.489
4,7.401149166743457,linear,auto,,7,"(16, 16)","(2, 2)",350,0.5247,0.5236,0.5247,0.5221
1,0.8046930013449941,linear,auto,,8,"(16, 16)","(2, 2)",450,0.5565,0.5444,0.5564,0.5463
2,0.8046930013449941,linear,auto,,8,"(16, 16)","(2, 2)",450,0.5411,0.5428,0.5411,0.5388
3,0.8046930013449941,linear,auto,,8,"(16, 16)","(2, 2)",450,0.5649,0.5408,0.5649,0.5474
4,0.8046930013449941,linear,auto,,8,"(16, 16)","(2, 2)",450,0.5505,0.5718,0.5505,0.5584
1,0.08640266212664978,polynomial,0.0008689270909718846,2,9,"(16, 16)","(3, 3)",325,0.3028,0.1779,0.3028,0.2024
2,0.08640266212664978,polynomial,0.0008689270909718846,2,9,"(16, 16)","(3, 3)",325,0.3254,0.1915,0.3254,0.2348
3,0.08640266212664978,polynomial,0.0008689270909718846,2,9,"(16, 16)","(3, 3)",325,0.2459,0.1433,0.2459,0.1628
4,0.08640266212664978,polynomial,0.0008689270909718846,2,9,"(16, 16)","(3, 3)",325,0.2697,0.1567,0.2697,0.1937
1,0.027862169798571996,rbf,0.08962724955021988,,9,"(12, 12)","(3, 3)",425,0.25,0.0529,0.25,0.0873
2,0.027862169798571996,rbf,0.08962724955021988,,9,"(12, 12)","(3, 3)",425,0.25,0.0529,0.25,0.0873
3,0.027862169798571996,rbf,0.08962724955021988,,9,"(12, 12)","(3, 3)",425,0.25,0.0529,0.25,0.0873
4,0.027862169798571996,rbf,0.08962724955021988,,9,"(12, 12)","(3, 3)",425,0.25,0.0529,0.25,0.0873
1,0.3307296295058653,polynomial,7.372966415838568e-05,2,8,"(12, 12)","(3, 3)",400,0.2966,0.4206,0.2966,0.1986
2,0.3307296295058653,polynomial,7.372966415838568e-05,2,8,"(12, 12)","(3, 3)",400,0.3133,0.189,0.3133,0.2351
3,0.3307296295058653,polynomial,7.372966415838568e-05,2,8,"(12, 12)","(3, 3)",400,0.2524,0.1485,0.2524,0.184
4,0.3307296295058653,polynomial,7.372966415838568e-05,2,8,"(12, 12)","(3, 3)",400,0.2711,0.1614,0.2711,0.2008
1,59.51041795969329,rbf,0.0027963417453011545,,10,"(24, 24)","(3, 3)",350,0.6559,0.6447,0.6559,0.6391
2,59.51041795969329,rbf,0.0027963417453011545,,10,"(24, 24)","(3, 3)",350,0.562,0.5468,0.5619,0.5508
3,59.51041795969329,rbf,0.0027963417453011545,,10,"(24, 24)","(3, 3)",350,0.5606,0.5553,0.5606,0.557
4,59.51041795969329,rbf,0.0027963417453011545,,10,"(24, 24)","(3, 3)",350,0.5783,0.5784,0.5783,0.5779
1,2.1676720058053545,linear,auto,,7,"(24, 24)","(3, 3)",450,0.4723,0.4549,0.4723,0.4556
2,2.1676720058053545,linear,auto,,7,"(24, 24)","(3, 3)",450,0.4889,0.4726,0.4889,0.4768
3,2.1676720058053545,linear,auto,,7,"(24, 24)","(3, 3)",450,0.5571,0.5368,0.5571,0.5434
4,2.1676720058053545,linear,auto,,7,"(24, 24)","(3, 3)",450,0.5634,0.5527,0.5634,0.5496
1,11.954157129257746,rbf,3.06855180841999e-05,,6,"(12, 12)","(3, 3)",475,0.4351,0.4824,0.4351,0.4024
2,11.954157129257746,rbf,3.06855180841999e-05,,6,"(12, 12)","(3, 3)",475,0.365,0.3826,0.365,0.3581
3,11.954157129257746,rbf,3.06855180841999e-05,,6,"(12, 12)","(3, 3)",475,0.3931,0.453,0.3931,0.3995
4,11.954157129257746,rbf,3.06855180841999e-05,,6,"(12, 12)","(3, 3)",475,0.3757,0.3336,0.3757,0.3406
1,0.001677465521178973,polynomial,9.006816719246969e-05,2,7,"(24, 24)","(3, 3)",275,0.2713,0.3737,0.2714,0.1347
2,0.001677465521178973,polynomial,9.006816719246969e-05,2,7,"(24, 24)","(3, 3)",275,0.2973,0.1886,0.2974,0.1681
3,0.001677465521178973,polynomial,9.006816719246969e-05,2,7,"(24, 24)","(3, 3)",275,0.2566,0.1364,0.2566,0.1372
4,0.001677465521178973,polynomial,9.006816719246969e-05,2,7,"(24, 24)","(3, 3)",275,0.2406,0.3563,0.2406,0.1287
1,0.4511279317638512,linear,auto,,10,"(12, 12)","(3, 3)",250,0.5886,0.5606,0.5886,0.5633
