fold,num_of_balancing,dropout_rate,batch_size,learning_rate,optimizer,num_conv_blocks,conv2d_filters,Epoch,Balanced Accuracy,Precision,Recall,F1 Score
3,350,0.3035408922501906,16,0.0005350568218892,rmsprop,5,"[16, 48, 144, 240, 432, 496]",39,0.8948,0.892,0.8948,0.8932
4,350,0.3035408922501906,16,0.0005350568218892,rmsprop,5,"[16, 48, 144, 240, 432, 496]",57,0.9105,0.9284,0.9105,0.9168
1,375,0.4258899709275246,8,0.000214936736566,adam,4,"[32, 128, 224, 224, 224, 224]",20,0.8935,0.8962,0.8936,0.8943
2,375,0.4258899709275246,8,0.000214936736566,adam,4,"[32, 128, 224, 224, 224, 224]",19,0.918,0.9111,0.918,0.9136
3,375,0.4258899709275246,8,0.000214936736566,adam,4,"[32, 128, 224, 224, 224, 224]",21,0.8976,0.8736,0.8976,0.8829
4,375,0.4258899709275246,8,0.000214936736566,adam,4,"[32, 128, 224, 224, 224, 224]",29,0.9216,0.9269,0.9216,0.9238
1,325,0.2860868388868909,16,2.2204671345507014e-05,rmsprop,6,"[48, 96, 128, 160, 320, 448]",45,0.8876,0.8716,0.8876,0.8777
2,325,0.2860868388868909,16,2.2204671345507014e-05,rmsprop,6,"[48, 96, 128, 160, 320, 448]",81,0.9241,0.9116,0.9241,0.9169
3,325,0.2860868388868909,16,2.2204671345507014e-05,rmsprop,6,"[48, 96, 128, 160, 320, 448]",53,0.8771,0.8382,0.8772,0.8502
4,325,0.2860868388868909,16,2.2204671345507014e-05,rmsprop,6,"[48, 96, 128, 160, 320, 448]",60,0.9272,0.9098,0.9272,0.9169
1,375,0.4220272179926121,8,1.0583686899785765e-05,adam,4,"[48, 48, 240, 240, 240, 336]",43,0.8637,0.869,0.8637,0.8628
2,375,0.4220272179926121,8,1.0583686899785765e-05,adam,4,"[48, 48, 240, 240, 240, 336]",52,0.9201,0.9067,0.9201,0.9106
3,375,0.4220272179926121,8,1.0583686899785765e-05,adam,4,"[48, 48, 240, 240, 240, 336]",54,0.8062,0.8384,0.8062,0.8189
4,375,0.4220272179926121,8,1.0583686899785765e-05,adam,4,"[48, 48, 240, 240, 240, 336]",73,0.8891,0.8842,0.8891,0.8839
1,275,0.3590503449666223,8,0.0003093109043028,adam,6,"[16, 80, 240, 240, 368, 368]",29,0.9046,0.8924,0.9046,0.8966
2,275,0.3590503449666223,8,0.0003093109043028,adam,6,"[16, 80, 240, 240, 368, 368]",38,0.8577,0.8487,0.8576,0.8505
3,275,0.3590503449666223,8,0.0003093109043028,adam,6,"[16, 80, 240, 240, 368, 368]",26,0.93,0.9134,0.93,0.9203
4,275,0.3590503449666223,8,0.0003093109043028,adam,6,"[16, 80, 240, 240, 368, 368]",16,0.8613,0.8531,0.8613,0.8558
1,300,0.225397664195406,8,2.01898830068226e-05,adam,5,"[32, 32, 96, 224, 448, 448]",48,0.8715,0.8779,0.8715,0.8743
2,300,0.225397664195406,8,2.01898830068226e-05,adam,5,"[32, 32, 96, 224, 448, 448]",54,0.9123,0.8833,0.9123,0.8956
3,300,0.225397664195406,8,2.01898830068226e-05,adam,5,"[32, 32, 96, 224, 448, 448]",55,0.8552,0.8217,0.8552,0.8344
4,300,0.225397664195406,8,2.01898830068226e-05,adam,5,"[32, 32, 96, 224, 448, 448]",61,0.9281,0.9375,0.9281,0.9318
1,325,0.218846637322235,8,0.0005124680005834,rmsprop,5,"[64, 80, 240, 240, 432, 496]",21,0.6368,0.5876,0.6368,0.5567
2,325,0.218846637322235,8,0.0005124680005834,rmsprop,5,"[64, 80, 240, 240, 432, 496]",19,0.9627,0.9557,0.9627,0.9588
3,325,0.218846637322235,8,0.0005124680005834,rmsprop,5,"[64, 80, 240, 240, 432, 496]",34,0.9531,0.9531,0.9531,0.9531
4,325,0.218846637322235,8,0.0005124680005834,rmsprop,5,"[64, 80, 240, 240, 432, 496]",28,0.9429,0.9362,0.9429,0.9386
1,250,0.4017577895483415,8,5.752015695596988e-05,rmsprop,4,"[64, 80, 144, 144, 432, 464]",34,0.8965,0.8863,0.8964,0.8862
2,250,0.4017577895483415,8,5.752015695596988e-05,rmsprop,4,"[64, 80, 144, 144, 432, 464]",25,0.868,0.8519,0.868,0.8583
3,250,0.4017577895483415,8,5.752015695596988e-05,rmsprop,4,"[64, 80, 144, 144, 432, 464]",35,0.8544,0.8294,0.8544,0.8382
4,250,0.4017577895483415,8,5.752015695596988e-05,rmsprop,4,"[64, 80, 144, 144, 432, 464]",50,0.9201,0.9034,0.9201,0.9098
