fold,num_of_balancing,dropout_rate,batch_size,learning_rate,optimizer,num_conv_blocks,conv2d_filters,Epoch,Balanced Accuracy,Precision,Recall,F1 Score
4,500,0.4178215658946088,16,0.0004476545411722,adam,4,"[64, 112, 240, 240, 336, 368]",23,0.9424,0.9256,0.9424,0.9319
1,400,0.4743828220870698,32,4.55564918861583e-05,rmsprop,6,"[48, 96, 96, 96, 256, 352]",72,0.8372,0.8461,0.8372,0.8407
2,400,0.4743828220870698,32,4.55564918861583e-05,rmsprop,6,"[48, 96, 96, 96, 256, 352]",74,0.9125,0.9001,0.9126,0.9035
3,400,0.4743828220870698,32,4.55564918861583e-05,rmsprop,6,"[48, 96, 96, 96, 256, 352]",90,0.9205,0.9226,0.9206,0.9212
4,400,0.4743828220870698,32,4.55564918861583e-05,rmsprop,6,"[48, 96, 96, 96, 256, 352]",95,0.8807,0.875,0.8807,0.8754
1,325,0.3962730801151159,32,0.0001065700652729,adam,3,"[32, 64, 128, 224, 416, 512]",42,0.8284,0.8371,0.8284,0.8278
2,325,0.3962730801151159,32,0.0001065700652729,adam,3,"[32, 64, 128, 224, 416, 512]",39,0.8038,0.758,0.8038,0.7706
3,325,0.3962730801151159,32,0.0001065700652729,adam,3,"[32, 64, 128, 224, 416, 512]",40,0.828,0.8326,0.828,0.8288
4,325,0.3962730801151159,32,0.0001065700652729,adam,3,"[32, 64, 128, 224, 416, 512]",39,0.8366,0.8182,0.8366,0.823
1,500,0.428617501730154,16,0.0003490759393051,rmsprop,6,"[48, 80, 144, 208, 464, 464]",24,0.9666,0.9618,0.9666,0.9636
2,500,0.428617501730154,16,0.0003490759393051,rmsprop,6,"[48, 80, 144, 208, 464, 464]",27,0.9345,0.9574,0.9344,0.9448
3,500,0.428617501730154,16,0.0003490759393051,rmsprop,6,"[48, 80, 144, 208, 464, 464]",36,0.9538,0.9406,0.9538,0.9469
4,500,0.428617501730154,16,0.0003490759393051,rmsprop,6,"[48, 80, 144, 208, 464, 464]",22,0.9551,0.9605,0.9551,0.9577
1,500,0.4107515906788274,32,0.0004081973850847,rmsprop,5,"[64, 96, 192, 256, 256, 320]",34,0.9427,0.9632,0.9426,0.9523
2,500,0.4107515906788274,32,0.0004081973850847,rmsprop,5,"[64, 96, 192, 256, 256, 320]",40,0.9403,0.9516,0.9404,0.9451
3,500,0.4107515906788274,32,0.0004081973850847,rmsprop,5,"[64, 96, 192, 256, 256, 320]",26,0.9635,0.9547,0.9635,0.9584
4,500,0.4107515906788274,32,0.0004081973850847,rmsprop,5,"[64, 96, 192, 256, 256, 320]",46,0.9551,0.9571,0.9551,0.956
1,450,0.3844369006940128,8,2.9403355771587157e-05,rmsprop,4,"[32, 96, 224, 224, 480, 512]",43,0.9046,0.9264,0.9046,0.9132
2,450,0.3844369006940128,8,2.9403355771587157e-05,rmsprop,4,"[32, 96, 224, 224, 480, 512]",40,0.8784,0.8654,0.8784,0.8702
3,450,0.3844369006940128,8,2.9403355771587157e-05,rmsprop,4,"[32, 96, 224, 224, 480, 512]",41,0.9196,0.9063,0.9196,0.9125
4,450,0.3844369006940128,8,2.9403355771587157e-05,rmsprop,4,"[32, 96, 224, 224, 480, 512]",47,0.8814,0.9008,0.8814,0.8887
1,500,0.290857831357237,32,0.0001798264204948,adam,3,"[32, 80, 112, 208, 208, 304]",24,0.8543,0.8557,0.8543,0.8546
2,500,0.290857831357237,32,0.0001798264204948,adam,3,"[32, 80, 112, 208, 208, 304]",38,0.8284,0.8239,0.8284,0.8243
3,500,0.290857831357237,32,0.0001798264204948,adam,3,"[32, 80, 112, 208, 208, 304]",30,0.8712,0.8429,0.8712,0.8543
4,500,0.290857831357237,32,0.0001798264204948,adam,3,"[32, 80, 112, 208, 208, 304]",23,0.8029,0.783,0.8029,0.7917
1,475,0.476344957355117,8,1.8916332833196645e-05,adam,4,"[32, 64, 192, 224, 224, 512]",58,0.8764,0.91,0.8764,0.8894
2,475,0.476344957355117,8,1.8916332833196645e-05,adam,4,"[32, 64, 192, 224, 224, 512]",61,0.9273,0.9025,0.9273,0.9129
3,475,0.476344957355117,8,1.8916332833196645e-05,adam,4,"[32, 64, 192, 224, 224, 512]",38,0.9011,0.8994,0.9011,0.8997
4,475,0.476344957355117,8,1.8916332833196645e-05,adam,4,"[32, 64, 192, 224, 224, 512]",36,0.8685,0.8936,0.8684,0.8754
